DATE                      TIME                      DAYS_SINCE_JAN            H2O                       D_1816                    D_DH                     
12/02/15                  15:09:41.6                3.3563173212E+2           7.9819790731E+3           -2.5411183438E+1          -2.0823846363E+2         
12/02/15                  15:09:48.5                3.3563181243E+2           8.0027313658E+3           -2.5619753771E+1          -2.0965737300E+2         
12/02/15                  15:09:53.6                3.3563187141E+2           8.0040101277E+3           -2.5602396180E+1          -2.0518477023E+2         
12/02/15                  15:09:58.7                3.3563193021E+2           8.0077346298E+3           -2.5806734250E+1          -2.0784543735E+2         
12/02/15                  15:10:03.8                3.3563198899E+2           8.0307362198E+3           -2.5490329839E+1          -2.1063363290E+2         
12/02/15                  15:10:08.9                3.3563204795E+2           8.0650321238E+3           -2.5708588353E+1          -2.0842877023E+2         
12/02/15                  15:10:14.0                3.3563210686E+2           8.0711727426E+3           -2.5936563822E+1          -2.0517008704E+2         
12/02/15                  15:10:19.1                3.3563216559E+2           8.0461387349E+3           -2.5648789588E+1          -2.1034225810E+2         
12/02/15                  15:10:24.1                3.3563222450E+2           8.0266633970E+3           -2.6151825316E+1          -2.0563206268E+2         
12/02/15                  15:10:29.2                3.3563228354E+2           8.0095526625E+3           -2.5668952337E+1          -2.0890199692E+2         
12/02/15                  15:10:34.3                3.3563234233E+2           8.0118785878E+3           -2.5475006750E+1          -2.0932081051E+2         
12/02/15                  15:10:39.4                3.3563240143E+2           8.0119690021E+3           -2.5615061607E+1          -2.1111841433E+2         
12/02/15                  15:10:46.4                3.3563248158E+2           8.0152569744E+3           -2.5530736351E+1          -2.1088572712E+2         
12/02/15                  15:10:51.4                3.3563254040E+2           8.0143017446E+3           -2.5802614157E+1          -2.1105123372E+2         
12/02/15                  15:10:56.5                3.3563259934E+2           8.0304445841E+3           -2.5719165366E+1          -2.0957282936E+2         
12/02/15                  15:11:01.6                3.3563265824E+2           8.0540312798E+3           -2.5768561460E+1          -2.0917343804E+2         
12/02/15                  15:11:06.7                3.3563271690E+2           8.0858254285E+3           -2.5937750442E+1          -2.0784460405E+2         
12/02/15                  15:11:11.8                3.3563277598E+2           8.1139781461E+3           -2.6171845155E+1          -2.0617908450E+2         
12/02/15                  15:11:16.9                3.3563283475E+2           8.1028637218E+3           -2.5292784122E+1          -2.0946443790E+2         
12/02/15                  15:11:22.0                3.3563289360E+2           8.0729797691E+3           -2.5826106772E+1          -2.0981458360E+2         
12/02/15                  15:11:27.1                3.3563295269E+2           8.0895501397E+3           -2.5520472183E+1          -2.1123997697E+2         
